"","BANK NAME","BANK BRANCH","CITY","DETAILS","country"
"1","ABN AMRO SECURITIES (BRASIL) CORRETORA DE VALORES MOBILIARIOS SA","","SAO PAULO","View","Brazil"
"2","BANCO ABC BRASIL S.A.","MATRIZ","SAO PAULO","View","Brazil"
"3","ACCESSTAGE TECNOLOGIA LTDA","","SAO PAULO","View","Brazil"
"4","ATIVA S/A CORRETORA DE TITULOS CAMBIO E VALORES","","RIO DE JANEIRO","View","Brazil"
"5","AMERICAN EXPRESS BANK (BRASIL) BANCO MULTIPLO S.A.","","SAO PAULO","View","Brazil"
"6","AGENDA CCVM LTDA.","","RIO DE JANEIRO","View","Brazil"
"7","AGORA COR DE TITUL E VAL MOB","","RIO DE JANEIRO","View","Brazil"
"8","ALFA CCVM S/A","","SAO PAULO","View","Brazil"
"9","ALPES C.C.T.V.M. LTDA","","SAO PAULO","View","Brazil"
"10","BANCO DA AMAZONIA S.A.","AGENCIA ICOARACI","BELEM","View","Brazil"
"11","ANGLO FERROUS BRAZIL S.A.","","RIO DE JANEIRO","View","Brazil"
"12","ANZ PARTICIPACOES E SERVICOES LTDA.","","RIO DE JANEIRO","View","Brazil"
"13","BANCO ARBI S/A","MATRIZ","RIO DE JANEIRO","View","Brazil"
"14","BANCO ALFA DE INVESTIMENTO S.A., SAO PAULO","","SAO PAULO","View","Brazil"
"15","AUREUM SOCIEDADE CORRETORA DE CAMBIO E VALORES MOBILIARIOS LTDA","","CURITIBA","View","Brazil"
"16","BARCLAYS CTVM S.A.","","SAO PAULO","View","Brazil"
"17","BANCO DE DESENVOLVIMENTO DO PARANA SA","","RIO DE JANEIRO","View","Brazil"
"18","BANCO CREDIT AGRICOLE BRASIL SA","MATRIZ","SAO PAULO","View","Brazil"
"19","BANCO VOTORANTIM S.A.","","SAO PAULO","View","Brazil"
"20","BRADESCO S.A. CTVM","","SAO PAULO","View","Brazil"
"21","BANCO BRADESCO S.A.","CENTRAL,URB.SAO PAULO, SP","SAO PAULO","View","Brazil"
"22","BRAM-BRADESCO ASSET MANAGEMENT","","SAO PAULO","View","Brazil"
"23","BANCO BBM S.A.","","RIO DE JANEIRO","View","Brazil"
