"";"fdi_indicator.id";"fdi_indicator.value";"fdi_country.id";"fdi_country.value";"country_code";"year";"fdi_value";"fdi_unit";"fdi_obs_status";"fdi_decimal"
"1";BX.KLT.DINV.CD.WD;Foreign direct investment, net inflows (BoP, current US$);ZH;Africa Eastern and Southern;"AFE";"2021";NA;"";"";0
"2";BX.KLT.DINV.CD.WD;Foreign direct investment, net inflows (BoP, current US$);ZH;Africa Eastern and Southern;"AFE";"2020"; 1.257987e+10;"";"";0
"3";BX.KLT.DINV.CD.WD;Foreign direct investment, net inflows (BoP, current US$);ZH;Africa Eastern and Southern;"AFE";"2019"; 1.382234e+10;"";"";0
"4";BX.KLT.DINV.CD.WD;Foreign direct investment, net inflows (BoP, current US$);ZH;Africa Eastern and Southern;"AFE";"2018"; 1.359147e+10;"";"";0
"5";BX.KLT.DINV.CD.WD;Foreign direct investment, net inflows (BoP, current US$);ZH;Africa Eastern and Southern;"AFE";"2017"; 1.003544e+10;"";"";0
"6";BX.KLT.DINV.CD.WD;Foreign direct investment, net inflows (BoP, current US$);ZI;Africa Western and Central;"AFW";"2021";NA;"";"";0
"7";BX.KLT.DINV.CD.WD;Foreign direct investment, net inflows (BoP, current US$);ZI;Africa Western and Central;"AFW";"2020"; 1.650859e+10;"";"";0
"8";BX.KLT.DINV.CD.WD;Foreign direct investment, net inflows (BoP, current US$);ZI;Africa Western and Central;"AFW";"2019"; 1.718584e+10;"";"";0
"9";BX.KLT.DINV.CD.WD;Foreign direct investment, net inflows (BoP, current US$);ZI;Africa Western and Central;"AFW";"2018"; 1.550198e+10;"";"";0
"10";BX.KLT.DINV.CD.WD;Foreign direct investment, net inflows (BoP, current US$);ZI;Africa Western and Central;"AFW";"2017"; 1.766242e+10;"";"";0
"11";BX.KLT.DINV.CD.WD;Foreign direct investment, net inflows (BoP, current US$);1A;Arab World;"ARB";"2021";NA;"";"";0
"12";BX.KLT.DINV.CD.WD;Foreign direct investment, net inflows (BoP, current US$);1A;Arab World;"ARB";"2020"; 3.793000e+10;"";"";0
"13";BX.KLT.DINV.CD.WD;Foreign direct investment, net inflows (BoP, current US$);1A;Arab World;"ARB";"2019"; 3.897938e+10;"";"";0
"14";BX.KLT.DINV.CD.WD;Foreign direct investment, net inflows (BoP, current US$);1A;Arab World;"ARB";"2018"; 3.376667e+10;"";"";0
"15";BX.KLT.DINV.CD.WD;Foreign direct investment, net inflows (BoP, current US$);1A;Arab World;"ARB";"2017"; 3.006343e+10;"";"";0
"16";BX.KLT.DINV.CD.WD;Foreign direct investment, net inflows (BoP, current US$);S3;Caribbean small states;"CSS";"2021";NA;"";"";0
"17";BX.KLT.DINV.CD.WD;Foreign direct investment, net inflows (BoP, current US$);S3;Caribbean small states;"CSS";"2020"; 2.455082e+09;"";"";0
"18";BX.KLT.DINV.CD.WD;Foreign direct investment, net inflows (BoP, current US$);S3;Caribbean small states;"CSS";"2019"; 4.005096e+09;"";"";0
"19";BX.KLT.DINV.CD.WD;Foreign direct investment, net inflows (BoP, current US$);S3;Caribbean small states;"CSS";"2018"; 2.835138e+09;"";"";0
"20";BX.KLT.DINV.CD.WD;Foreign direct investment, net inflows (BoP, current US$);S3;Caribbean small states;"CSS";"2017"; 2.014802e+09;"";"";0
"21";BX.KLT.DINV.CD.WD;Foreign direct investment, net inflows (BoP, current US$);B8;Central Europe and the Baltics;"CEB";"2021";NA;"";"";0
