n,indicator.id,indicator.value,country.id,country.value,countryiso3code,date,value,unit,obs_status,decimal,m
1,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZH,Africa Eastern and Southern,AFE,2021,NA,,,
2,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZH,Africa Eastern and Southern,AFE,2020,NA,,,
3,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZH,Africa Eastern and Southern,AFE,2019,NA,,,
4,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZH,Africa Eastern and Southern,AFE,2018,NA,,,
5,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZH,Africa Eastern and Southern,AFE,2017,NA,,,
6,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZI,Africa Western and Central,AFW,2021,NA,,,
7,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZI,Africa Western and Central,AFW,2020,NA,,,
8,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZI,Africa Western and Central,AFW,2019,NA,,,
9,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZI,Africa Western and Central,AFW,2018,NA,,,
10,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZI,Africa Western and Central,AFW,2017,NA,,,
11,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),1A,Arab World,ARB,2021,NA,,,
12,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),1A,Arab World,ARB,2020,73.36777,,,
13,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),1A,Arab World,ARB,2019,73.11425,,,
14,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),1A,Arab World,ARB,2018,72.86909,,,
15,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),1A,Arab World,ARB,2017,75.76682,,,
16,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),S3,Caribbean small states,CSS,2021,NA,,,
17,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),S3,Caribbean small states,CSS,2020,NA,,,
18,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),S3,Caribbean small states,CSS,2019,NA,,,
19,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),S3,Caribbean small states,CSS,2018,NA,,,
20,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),S3,Caribbean small states,CSS,2017,NA,,,
21,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),B8,Central Europe and the Baltics,CEB,2021,NA,,,
22,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),B8,Central Europe and the Baltics,CEB,2020,NA,,,
23,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),B8,Central Europe and the Baltics,CEB,2019,NA,,,
24,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),B8,Central Europe and the Baltics,CEB,2018,NA,,,
25,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),B8,Central Europe and the Baltics,CEB,2017,NA,,,
26,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),V2,Early-demographic dividend,EAR,2021,NA,,,
27,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),V2,Early-demographic dividend,EAR,2020,80.30726,,,
28,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),V2,Early-demographic dividend,EAR,2019,79.84099,,,
29,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),V2,Early-demographic dividend,EAR,2018,79.35413,,,
30,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),V2,Early-demographic dividend,EAR,2017,79.01700,,,
31,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),Z4,East Asia & Pacific,EAS,2021,NA,,,
32,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),Z4,East Asia & Pacific,EAS,2020,95.91979,,,
33,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),Z4,East Asia & Pacific,EAS,2019,95.77401,,,
34,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),Z4,East Asia & Pacific,EAS,2018,95.62532,,,
35,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),Z4,East Asia & Pacific,EAS,2017,95.47143,,,
36,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),4E,East Asia & Pacific (excluding high income),EAP,2021,NA,,,
37,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),4E,East Asia & Pacific (excluding high income),EAP,2020,96.17315,,,
38,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),4E,East Asia & Pacific (excluding high income),EAP,2019,96.02679,,,
39,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),4E,East Asia & Pacific (excluding high income),EAP,2018,95.87912,,,
40,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),4E,East Asia & Pacific (excluding high income),EAP,2017,95.72929,,,
41,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T4,East Asia & Pacific (IDA & IBRD countries),TEA,2021,NA,,,
42,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T4,East Asia & Pacific (IDA & IBRD countries),TEA,2020,96.12632,,,
43,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T4,East Asia & Pacific (IDA & IBRD countries),TEA,2019,95.97810,,,
44,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T4,East Asia & Pacific (IDA & IBRD countries),TEA,2018,95.82860,,,
45,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),T4,East Asia & Pacific (IDA & IBRD countries),TEA,2017,95.67691,,,
46,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XC,Euro area,EMU,2021,NA,,,
47,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XC,Euro area,EMU,2020,NA,,,
48,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XC,Euro area,EMU,2019,NA,,,
49,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XC,Euro area,EMU,2018,NA,,,
50,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),XC,Euro area,EMU,2017,NA,,,
51,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),Z7,Europe & Central Asia,ECS,2021,NA,,,
52,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),Z7,Europe & Central Asia,ECS,2020,98.42828,,,
53,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),Z7,Europe & Central Asia,ECS,2019,98.37897,,,
54,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),Z7,Europe & Central Asia,ECS,2018,98.33352,,,
55,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),Z7,Europe & Central Asia,ECS,2017,98.27192,,,
56,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),7E,Europe & Central Asia (excluding high income),ECA,2021,NA,,,
57,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),7E,Europe & Central Asia (excluding high income),ECA,2020,99.07747,,,
58,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),7E,Europe & Central Asia (excluding high income),ECA,2019,99.04349,,,
59,SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),7E,Europe & Central Asia (excluding high income),ECA,2018,99.00774,,,
