 Country ; 1-9 ; 10-19 ; 20-49 ; 50-249 ; 250+ ; Total 
 Australia ;3526000;;1859000;;2541000;7926000
 Austria ;692580;302047;355028;519675;843661;2712991
 Belgium ;946348;232801;316460;404696;801748;2702053
 Brazil ;7787469;3661851;4258283;5527970;12954846;34190419
 Canada ;2381568;;1382103;2320477;4429641;10513789
 Czech Republic ;1108872;254141;356862;671844;1100426;3492145
 Denmark ;334699;156685;216595;344423;581782;1634184
 Estonia ;124549;41632;55263;94830;85736;402010
 Finland ;366248;145587;179851;260668;511812;1464166
 France ;4799169;1176958;1602109;2206025;5672971;15457232
 Germany ;5558583;3043919;3377932;5516994;10241981;27739409
 Greece ;1276724;206287;187379;228794;249678;2148862
 Hungary ;852339;223372;250067;405303;728848;2459929
 Ireland ;363428;126923;154828;239185;337178;1221542
 Israel ;458069;227705;309210;469332;813522;2277838
 Italy ;6469991;1531284;1356694;1799667;2951263;14108899
 Japan ;4607136;2789088;3907695;7297740;16626035;35227694
 Korea ;6528613;1624470;2055787;2903018;1924597;15036485
 Latvia ;196115;63122;88957;140615;128651;617460
 Lithuania ;250168;93916;125271;203336;212164;884855
 Luxembourg ;45263;25632;34569;41649;58856;205969
 Mexico ;5670630;2328081;1499174;3077857;5942343;18518085
 Netherlands ;1537522;424692;579738;956911;1787609;5286472
 New Zealand ;268655;167209;194173;287310;394720;1312067
 Norway ;367681;177626;204653;299511;517052;1566523
 Poland ;3031711;486859;690145;1517269;2655280;8381264
 Portugal ;1200901;266943;320986;462714;632845;2884389
 Romania ;877379;356873;486767;793666;1308907;3823592
 Russian Federation ;255837;363909;892153;4588166;12366162;18466227
 Slovak Republic ;579089;89648;114156;229617;405531;1418041
 Slovenia ;203000;39808;49745;110653;151632;554838
 Spain ;4325165;916784;1078404;1407623;2875335;10603311
 Sweden ;768683;288919;376499;559952;1011281;3005334
 Switzerland ;481764;346787;409103;634678;911757;2784089
 Turkey ;5097885;;1689941;2439017;3255113;12481956
 United Kingdom ;3301459;1556195;2011219;2920352;8654750;18443975
 United States ;9245888;6048538;8918826;13305796;53250192;90769240
