"COUNTRY","INDICATOR","YEAR","Unit Code","PowerCode Code","Reference Period Code","Value","Flag Codes"
"AUS","SME_LENDING_STOCK","2007","AUD","6",,189198,
"AUS","SME_LENDING_STOCK","2008","AUD","6",,204591,
"AUS","SME_LENDING_STOCK","2009","AUD","6",,204681,
"AUS","SME_LENDING_STOCK","2010","AUD","6",,225167,
"AUS","SME_LENDING_STOCK","2011","AUD","6",,235982,
"AUS","SME_LENDING_STOCK","2012","AUD","6",,239993,
"AUS","SME_LENDING_STOCK","2013","AUD","6",,243110,
"AUS","SME_LENDING_STOCK","2014","AUD","6",,251393,
"AUS","SME_LENDING_STOCK","2015","AUD","6",,261505,
"AUS","SME_LENDING_STOCK","2016","AUD","6",,271388,
"AUS","SME_LENDING_STOCK","2017","AUD","6",,281388,
"AUS","SME_LENDING_STOCK","2018","AUD","6",,283697,
"AUS","SME_LENDING_STOCK","2019","AUD","6",,426631,
"AUS","SME_LENDING_STOCK","2020","AUD","6",,421186,
"AUS","CORPORATE_LENDING_STOCK","2007","AUD","6",,699871,
"AUS","CORPORATE_LENDING_STOCK","2008","AUD","6",,767295,
"AUS","CORPORATE_LENDING_STOCK","2009","AUD","6",,713008,
"AUS","CORPORATE_LENDING_STOCK","2010","AUD","6",,688971,
"AUS","CORPORATE_LENDING_STOCK","2011","AUD","6",,712709,
"AUS","CORPORATE_LENDING_STOCK","2012","AUD","6",,732472,
"AUS","CORPORATE_LENDING_STOCK","2013","AUD","6",,744845,
"AUS","CORPORATE_LENDING_STOCK","2014","AUD","6",,778222,
"AUS","CORPORATE_LENDING_STOCK","2015","AUD","6",,831805,
"AUS","CORPORATE_LENDING_STOCK","2016","AUD","6",,875139,
"AUS","CORPORATE_LENDING_STOCK","2017","AUD","6",,903924,
"AUS","CORPORATE_LENDING_STOCK","2018","AUD","6",,954194,
"AUS","CORPORATE_LENDING_STOCK","2019","AUD","6",,976159,
"AUS","CORPORATE_LENDING_STOCK","2020","AUD","6",,986892,
"AUS","SME_LENDING_PROPORTION","2007","PC","0",,27.03,
"AUS","SME_LENDING_PROPORTION","2008","PC","0",,26.66,
"AUS","SME_LENDING_PROPORTION","2009","PC","0",,28.71,
"AUS","SME_LENDING_PROPORTION","2010","PC","0",,32.68,
"AUS","SME_LENDING_PROPORTION","2011","PC","0",,33.11,
"AUS","SME_LENDING_PROPORTION","2012","PC","0",,32.76,
"AUS","SME_LENDING_PROPORTION","2013","PC","0",,32.64,
"AUS","SME_LENDING_PROPORTION","2014","PC","0",,32.3,
"AUS","SME_LENDING_PROPORTION","2015","PC","0",,31.44,
"AUS","SME_LENDING_PROPORTION","2016","PC","0",,31.01,
"AUS","SME_LENDING_PROPORTION","2017","PC","0",,31.13,
"AUS","SME_LENDING_PROPORTION","2018","PC","0",,29.73,
"AUS","SME_LENDING_PROPORTION","2019","PC","0",,43.71,
"AUS","SME_LENDING_PROPORTION","2020","PC","0",,42.68,
"AUS","NPL_CORPORATE","2007","PC","0",,0.5,
"AUS","NPL_CORPORATE","2008","PC","0",,2.07,
"AUS","NPL_CORPORATE","2009","PC","0",,3.27,
"AUS","NPL_CORPORATE","2010","PC","0",,3.55,
"AUS","NPL_CORPORATE","2011","PC","0",,3.16,
"AUS","NPL_CORPORATE","2012","PC","0",,2.68,
"AUS","NPL_CORPORATE","2013","PC","0",,2.03,
"AUS","NPL_CORPORATE","2014","PC","0",,1.39,
"AUS","NPL_CORPORATE","2015","PC","0",,1.01,
"AUS","NPL_CORPORATE","2016","PC","0",,1.13,
"AUS","NPL_CORPORATE","2017","PC","0",,0.78,
"AUS","NPL_CORPORATE","2018","PC","0",,0.81,
"AUS","NPL_CORPORATE","2019","PC","0",,0.92,
"AUS","NPL_CORPORATE","2020","PC","0",,1.02,
"AUS","INTEREST_RATE_SMES","2007","PC","0",,8.66,
"AUS","INTEREST_RATE_SMES","2008","PC","0",,8.04,
"AUS","INTEREST_RATE_SMES","2009","PC","0",,7.6,
"AUS","INTEREST_RATE_SMES","2010","PC","0",,8.4,
"AUS","INTEREST_RATE_SMES","2011","PC","0",,8.02,
"AUS","INTEREST_RATE_SMES","2012","PC","0",,7.13,
"AUS","INTEREST_RATE_SMES","2013","PC","0",,6.54,
"AUS","INTEREST_RATE_SMES","2014","PC","0",,6.27,
"AUS","INTEREST_RATE_SMES","2015","PC","0",,5.63,
"AUS","INTEREST_RATE_SMES","2016","PC","0",,5.36,
"AUS","INTEREST_RATE_SMES","2017","PC","0",,5.28,
