"","indicator.id","indicator.value","country.id","country.value","countryiso3code","date","value","unit","obs_status","decimal"
"1",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZH,Africa Eastern and Southern,"AFE","2021",NA,"","",0
"2",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZH,Africa Eastern and Southern,"AFE","2020",NA,"","",0
"3",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZH,Africa Eastern and Southern,"AFE","2019",NA,"","",0
"4",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZH,Africa Eastern and Southern,"AFE","2018",NA,"","",0
"5",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZH,Africa Eastern and Southern,"AFE","2017",NA,"","",0
"6",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZI,Africa Western and Central,"AFW","2021",NA,"","",0
"7",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZI,Africa Western and Central,"AFW","2020",NA,"","",0
"8",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZI,Africa Western and Central,"AFW","2019",NA,"","",0
"9",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZI,Africa Western and Central,"AFW","2018",NA,"","",0
"10",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),ZI,Africa Western and Central,"AFW","2017",NA,"","",0
"11",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),1A,Arab World,"ARB","2021",NA,"","",0
"12",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),1A,Arab World,"ARB","2020",73.36777,"","",0
"13",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),1A,Arab World,"ARB","2019",73.11425,"","",0
"14",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),1A,Arab World,"ARB","2018",72.86909,"","",0
"15",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),1A,Arab World,"ARB","2017",75.76682,"","",0
"16",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),S3,Caribbean small states,"CSS","2021",NA,"","",0
"17",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),S3,Caribbean small states,"CSS","2020",NA,"","",0
"18",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),S3,Caribbean small states,"CSS","2019",NA,"","",0
"19",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),S3,Caribbean small states,"CSS","2018",NA,"","",0
"20",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),S3,Caribbean small states,"CSS","2017",NA,"","",0
"21",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),B8,Central Europe and the Baltics,"CEB","2021",NA,"","",0
"22",SE.ADT.LITR.ZS,Literacy rate, adult total (% of people ages 15 and above),B8,Central Europe and the Baltics,"CEB","2020",NA,"","",0
